Longitude Latitude Speed
15.300000 32.563883 5.814325
15.333333 32.563883 5.745113
15.366667 32.563883 5.685723
15.400000 32.563883 5.636466
15.433333 32.563883 5.597609
15.466667 32.563883 5.569369
15.500000 32.563883 5.551908
15.533333 32.563883 5.535177
15.566667 32.563883 5.521132
15.600000 32.563883 5.520585
15.633333 32.563883 5.533538
15.666667 32.563883 5.559896
15.700000 32.563883 5.599473
15.733333 32.563883 5.651989
15.766667 32.563883 5.705811
15.800000 32.563883 5.755665
15.833333 32.563883 5.811676
15.866667 32.563883 5.875527
15.900000 32.563883 5.946968
15.933333 32.563883 6.025727
15.966667 32.563883 6.111523
16.000000 32.563883 6.204063
16.033333 32.563883 6.260892
16.066667 32.563883 6.314948
16.100000 32.563883 6.372947
16.133333 32.563883 6.434783
16.166667 32.563883 6.500347
16.200000 32.563883 6.569526
16.233333 32.563883 6.642209
16.266667 32.563883 6.699862
16.300000 32.563883 6.739619
16.333333 32.563883 6.779684
16.366667 32.563883 6.821979
16.400000 32.563883 6.866464
16.433333 32.563883 6.913096
16.466667 32.563883 6.961833
16.500000 32.563883 7.012630
16.533333 32.563883 7.017484
16.566667 32.563883 7.011550
16.600000 32.563883 7.007922
16.633333 32.563883 7.006602
16.666667 32.563883 7.007591
16.700000 32.563883 7.010889
16.733333 32.563883 7.016492
16.766667 32.563883 7.008791
16.800000 32.563883 6.985348
14.800000 32.591976 6.241469
14.833333 32.591976 6.246455
14.866667 32.591976 6.254210
14.900000 32.591976 6.264725
14.933333 32.591976 6.277987
14.966667 32.591976 6.293976
15.000000 32.591976 6.312673
15.033333 32.591976 6.229275
15.066667 32.591976 6.122515
15.100000 32.591976 6.022276
15.133333 32.591976 5.928888
15.166667 32.591976 5.842680
15.200000 32.591976 5.763972
15.233333 32.591976 5.693078
15.266667 32.591976 5.619416
15.300000 32.591976 5.538635
15.333333 32.591976 5.462234
15.366667 32.591976 5.396608
15.400000 32.591976 5.342151
15.433333 32.591976 5.299208
15.466667 32.591976 5.268063
15.500000 32.591976 5.248923
15.533333 32.591976 5.233083
15.566667 32.591976 5.222376
15.600000 32.591976 5.226148
15.633333 32.591976 5.244366
15.666667 32.591976 5.276881
15.700000 32.591976 5.323431
15.733333 32.591976 5.383654
15.766667 32.591976 5.446206
15.800000 32.591976 5.506191
15.833333 32.591976 5.573235
15.866667 32.591976 5.648439
15.900000 32.591976 5.731481
15.933333 32.591976 5.822024
15.966667 32.591976 5.919726
16.000000 32.591976 6.024238
16.033333 32.591976 6.089883
16.066667 32.591976 6.152488
16.100000 32.591976 6.218954
16.133333 32.591976 6.289161
16.166667 32.591976 6.362983
16.200000 32.591976 6.440298
16.233333 32.591976 6.520979
16.266667 32.591976 6.585951
16.300000 32.591976 6.632218
16.333333 32.591976 6.678545
16.366667 32.591976 6.727036
16.400000 32.591976 6.777643
16.433333 32.591976 6.830320
16.466667 32.591976 6.885019
16.500000 32.591976 6.941692
16.533333 32.591976 6.954276
16.566667 32.591976 6.956994
16.600000 32.591976 6.961944
16.633333 32.591976 6.969120
16.666667 32.591976 6.978514
16.700000 32.591976 6.990120
16.733333 32.591976 7.003926
16.766667 32.591976 7.003800
16.800000 32.591976 6.987167
14.800000 32.620060 6.267597
14.833333 32.620060 6.245599
14.866667 32.620060 6.226417
14.900000 32.620060 6.210074
14.933333 32.620060 6.196596
14.966667 32.620060 6.185998
15.000000 32.620060 6.178298
15.033333 32.620060 6.074164
15.066667 32.620060 5.951399
15.100000 32.620060 5.835260
15.133333 32.620060 5.726149
