Layer	Latitude	Transport(m^3/s)
45	37.0000	3.089894e+02
45	37.0269	2.764640e+01
45	37.0538	-2.598768e+02
45	37.0808	-5.402190e+02
45	37.1077	-8.142268e+02
45	37.1346	-1.085899e+03
45	37.1615	-1.355248e+03
45	37.1885	-1.615385e+03
45	37.2154	-1.856512e+03
45	37.2423	-2.066209e+03
45	37.2692	-2.230628e+03
45	37.2962	-2.332709e+03
45	37.3231	-2.352915e+03
45	37.3500	-2.271741e+03
45	37.3769	-2.082236e+03
45	37.4038	-1.790987e+03
45	37.4308	-1.428825e+03
45	37.4577	-1.044205e+03
45	37.4846	-6.798663e+02
45	37.5115	-3.725803e+02
45	37.5385	-1.498408e+02
45	37.5654	-2.476628e+01
45	37.5923	1.722569e+01
45	37.6192	8.301052e+00
45	37.6462	-1.237991e+01
45	37.6731	-1.410042e+01
45	37.7000	5.337318e+00
45	37.7269	2.385300e+01
45	37.7538	1.258107e-01
45	37.7808	-9.553873e+01
45	37.8077	-2.684807e+02
45	37.8346	-5.042925e+02
45	37.8615	-7.881381e+02
45	37.8885	-1.118267e+03
45	37.9154	-1.494212e+03
45	37.9423	-1.889421e+03
45	37.9692	-2.249097e+03
45	37.9962	-2.512416e+03
45	38.0231	-2.626816e+03
45	38.0500	-2.574979e+03
45	38.0769	-2.388902e+03
45	38.1038	-2.111703e+03
45	38.1308	-1.751174e+03
45	38.1577	-1.302370e+03
45	38.1846	-7.785271e+02
45	38.2115	-1.915994e+02
45	38.2385	4.503138e+02
45	38.2654	1.132088e+03
45	38.2923	1.732719e+03
45	38.3192	2.036602e+03
45	38.3462	2.033649e+03
45	38.3731	1.901310e+03
45	38.4000	1.716423e+03
