Layer	Longitude	Transport(m^3/s)
45	18.7333	-2.491317e+02
45	18.7667	-1.785001e+02
45	18.8000	-1.135721e+02
45	18.8333	-5.183055e+01
45	18.8667	1.934585e+01
45	18.9000	1.071272e+02
45	18.9333	2.024842e+02
45	18.9667	2.828154e+02
45	19.0000	3.344032e+02
45	19.0333	3.768850e+02
45	19.0667	4.448164e+02
45	19.1000	5.457620e+02
45	19.1333	6.628899e+02
45	19.1667	7.994513e+02
45	19.2000	9.774270e+02
45	19.2333	1.194255e+03
45	19.2667	1.400208e+03
45	19.3000	1.556265e+03
45	19.3333	1.695007e+03
45	19.3667	1.839354e+03
45	19.4000	1.960412e+03
45	19.4333	2.016010e+03
45	19.4667	1.997336e+03
45	19.5000	1.936045e+03
